Subject	List/Order	MeanRT	Congruence	ImpPerf	ObjInstr				
1	B1	531	Congruent	Imperfect	Object				
2	A3	582	Congruent	Imperfect	Object				
3	A2	695	Congruent	Imperfect	Object		 		
4	A2	565	Congruent	Imperfect	Object				
5	B2	651	Congruent	Imperfect	Object				
6	A1	442	Congruent	Imperfect	Object				
7	B1	393	Congruent	Imperfect	Object				
8	A3	512	Congruent	Imperfect	Object				
9	B1	702	Congruent	Imperfect	Object				
10	B3	233	Congruent	Imperfect	Object				
11	B3	281	Congruent	Imperfect	Object				
12	B2	382	Congruent	Imperfect	 Object				
13	B1	414	Congruent	Imperfect	Object				
14	A3	597	Congruent	Imperfect	Object				
15	A2	569	Congruent	Imperfect	Object				
16	A1	479	Congruent	Imperfect	Object				
17	A1	625	Congruent	Imperfect	Object				
18	A2	349	Congruent	Imperfect	Object				
19	A3	520	Congruent	Imperfect	Object				
20	B2	438	Congruent	Imperfect	 Object				
21	B3	320	Congruent	Imperfect	Object				
22	A3	417	Congruent	Imperfect	Object				
1	B1	527	Incongruent	Imperfect	Object				
2	A3	503	Incongruent	Imperfect	Object				
3	A2	663	Incongruent	Imperfect	Object				
4	A2	570	Incongruent	Imperfect	Object				
5	B2	824	Incongruent	Imperfect	Object				
6	A1	492	Incongruent	Imperfect	Object				
7	B1	360	Incongruent	Imperfect	Object 				
8	A3	392	Incongruent	Imperfect	Object				
9	B1	656	Incongruent	Imperfect	Object				
10	B3	247	Incongruent	Imperfect	Object				
11	B3	283	Incongruent	Imperfect	Object				
12	B2	432	Incongruent	Imperfect	Object				
13	B1	351	Incongruent	Imperfect	Object				
14	A3	588	Incongruent	Imperfect	Object				
15	A2	612	Incongruent	Imperfect	Object				
16	A1	445	Incongruent	Imperfect	Object				
17	A1	651	Incongruent	Imperfect	Object				
18	A2	327	Incongruent	Imperfect	Object				
19	A3	447	Incongruent	Imperfect	Object				
20	B2	409	Incongruent	Imperfect	Object				
21	B3	318	Incongruent	Imperfect	Object				
22	A3	389	Incongruent	Imperfect	Object				
1	B1	527	Congruent	Perfect	Object				
2	A3	519	Congruent	Perfect	Object				
3	A2	603	Congruent	Perfect	Object				
4	A2	546	Congruent	Perfect	Object				
5	B2	846	Congruent	Perfect	Object				
6	A1	407	Congruent	Perfect	Object				
7	B1	364	Congruent	Perfect	Object				
8	A3	366	Congruent	Perfect	Object				
9	B1	539	Congruent	Perfect	Object				
10	B3	305	Congruent	Perfect	Object				
11	B3	292	Congruent	Perfect	Object				
12	B2	407	Congruent	Perfect	Object				
13	B1	420	Congruent	Perfect	Object				
14	A3	541	Congruent	Perfect	Object				
15	A2	572	Congruent	Perfect	Object				
16	A1	363	Congruent	Perfect	Object				
17	A1	575	Congruent	Perfect	Object				
18	A2	387	Congruent	Perfect	Object				
19	A3	509	Congruent	Perfect	Object				
20	B2	375	Congruent	Perfect	Object				
21	B3	357	Congruent	Perfect	Object				
22	A3	464	Congruent	Perfect	Object				
1	B1	528	Incongruent	Perfect	Object				
2	A3	528	Incongruent	Perfect	Object				
3	A2	648	Incongruent	Perfect	Object				
4	A2	651	Incongruent	Perfect	Object				
5	B2	738	Incongruent	Perfect	Object				
6	A1	450	Incongruent	Perfect	Object				
7	B1	410	Incongruent	Perfect	Object				
8	A3	502	Incongruent	Perfect	Object				
9	B1	821	Incongruent	Perfect	Object				
10	B3	305	Incongruent	Perfect	Object				
11	B3	294	Incongruent	Perfect	Object				
12	B2	445	Incongruent	Perfect	Object				
13	B1	469	Incongruent	Perfect	Object				
14	A3	658	Incongruent	Perfect	Object				
15	A2	664	Incongruent	Perfect	Object				
16	A1	349	Incongruent	Perfect	Object				
17	A1	633	Incongruent	Perfect	Object				
18	A2	390	Incongruent	Perfect	Object 				
19	A3	495	Incongruent	Perfect	Object				
20	B2	394	Incongruent	Perfect	Object				
21	B3	354	Incongruent	Perfect	Object				
22	A3	436	Incongruent	Perfect	Object				
1	B1	518	Congruent	Imperfect	Instrument				
2	A3	372	Congruent	Imperfect	Instrument				
3	A2	547	Congruent	Imperfect	Instrument				
4	A2	430	Congruent	Imperfect	Instrument				
5	B2	601	Congruent	Imperfect	Instrument				
6	A1	425	Congruent	Imperfect	Instrument				
7	B1	373	Congruent	Imperfect	Instrument				
8	A3	450	Congruent	Imperfect	Instrument				
9	B1	628	Congruent	Imperfect	Instrument				
10	B3	264	Congruent	Imperfect	Instrument				
11	B3	279	Congruent	Imperfect	Instrument				
12	B2	392	Congruent	Imperfect	Instrument				
13	B1	406	Congruent	Imperfect	Instrument				
14	A3	537	Congruent	Imperfect	Instrument				
15	A2	470	Congruent	Imperfect	Instrument				
16	A1	403	Congruent	Imperfect	Instrument				
17	A1	526	Congruent	Imperfect	Instrument				
18	A2	357	Congruent	Imperfect	Instrument				
19	A3	558	Congruent	Imperfect	Instrument				
20	B2	392	Congruent	Imperfect	Instrument				
21	B3	327	Congruent	Imperfect	Instrument				
22	A3	298	Congruent	Imperfect	Instrument				
1	B1	489	Incongruent	Imperfect	Instrument				
2	A3	501	Incongruent	Imperfect	Instrument				
3	A2	629	Incongruent	Imperfect	Instrument				
4	A2	473	Incongruent	Imperfect	Instrument				
5	B2	623	Incongruent	Imperfect	Instrument				
6	A1	402	Incongruent	Imperfect	Instrument				
7	B1	315	Incongruent	Imperfect	Instrument				
8	A3	433	Incongruent	Imperfect	Instrument				
9	B1	620	Incongruent	Imperfect	Instrument				
10	B3	283	Incongruent	Imperfect	Instrument				
11	B3	227	Incongruent	Imperfect	Instrument				
12	B2	322	Incongruent	Imperfect	Instrument				
13	B1	489	Incongruent	Imperfect	Instrument				
14	A3	544	Incongruent	Imperfect	Instrument				
15	A2	597	Incongruent	Imperfect	Instrument				
16	A1	334	Incongruent	Imperfect	Instrument				
17	A1	480	Incongruent	Imperfect	Instrument				
18	A2	363	Incongruent	Imperfect	Instrument				
19	A3	557	Incongruent	Imperfect	Instrument				
20	B2	375	Incongruent	Imperfect	Instrument				
21	B3	303	Incongruent	Imperfect	Instrument				
22	A3	414	Incongruent	Imperfect	Instrument				
1	B1	506	Congruent	Perfect	Instrument				
2	A3	395	Congruent	Perfect	Instrument				
3	A2	522	Congruent	Perfect	Instrument				
4	A2	449	Congruent	Perfect	Instrument				
5	B2	697	Congruent	Perfect	Instrument				
6	A1	367	Congruent	Perfect	Instrument				
7	B1	340	Congruent	Perfect	Instrument				
8	A3	360	Congruent	Perfect	Instrument				
9	B1	591	Congruent	Perfect	Instrument				
10	B3	227	Congruent	Perfect	Instrument				
11	B3	228	Congruent	Perfect	Instrument				
12	B2	373	Congruent	Perfect	Instrument				
13	B1	354	Congruent	Perfect	Instrument				
14	A3	501	Congruent	Perfect	Instrument				
15	A2	463	Congruent	Perfect	Instrument				
16	A1	384	Congruent	Perfect	Instrument				
17	A1	517	Congruent	Perfect	Instrument				
18	A2	344	Congruent	Perfect	Instrument				
19	A3	512	Congruent	Perfect	Instrument				
20	B2	418	Congruent	Perfect	Instrument				
21	B3	303	Congruent	Perfect	 Instrument				
22	A3	274	Congruent	Perfect	 Instrument				
1	B1	491	Incongruent	Perfect	 Instrument				
2	A3	394	Incongruent	Perfect	Instrument				
3	A2	536	Incongruent	Perfect	Instrument				
4	A2	440	Incongruent	Perfect	Instrument				
5	B2	579	Incongruent	Perfect	Instrument				
6	A1	363	Incongruent	Perfect	Instrument				
7	B1	329	Incongruent	Perfect	Instrument				
